'CDP '    18  0.02 
'SA '    16  0.02 
'FE de las JONS '    7  0.01 
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'  '         
'PSOE  ' 778   171196   41.93  
'PP ' 605  175112  42.89 
'IU-V-SIEX ' 114  28224  6.91 
'IPEX ' 35  4959  1.21 
'CIO ' 7  1766  0.43 
'ADV ' 7  920  0.23 
'IPB ' 5  711  0.17 
'PIDES ' 5  434  0.11 
'SIEx ' 4  2451  0.60 
'CV ' 4  1703  0.42 
'CISex ' 4  1445  0.35 
'USIP ' 4  587  0.14 
'SIV ' 4  487  0.12 
'UP ' 4  404  0.10 
'IPC ' 4  302  0.07 
'AESA ' 3  437  0.11 
'PG ' 3  391  0.10 
'GIPR ' 3  304  0.07 
'GIV ' 3  279  0.07 
'AJM ' 3  150  0.04 
'AVVB ' 3  103  0.03 
'CIC ' 3  53  0.01 
'A E LA ENCINA TALAVERA LA REAL ' 2  488  0.12 
'IFC ' 2  442  0.11 
'ALG ' 2  356  0.09 
'AI ' 1  301  0.07 
'ACLS ' 1  158  0.04 
'PREX-CREX ' 1  76  0.02 
'UPyD '    3170  0.78 
'ECOLO '    961  0.24 
'PUM+J '    784  0.19 
'EU '    591  0.14 
'CcVva '    477  0.12 
'PACMA/ ZAAAA '    288  0.07 
'DN '    150  0.04 
'PH '    138  0.03 
'IAA '    134  0.03 
'AES '    130  0.03 
'FA '    112  0.03 
'RESTO '    63  0.02 
'PP  ' 439   189021   44.11  
'PSOE ' 211  101707  23.73 
'CxI ' 58  15178  3.54 
'PSM-EN-APIB ' 49  10744  2.51 
'PSM-EN ' 14  19517  4.55 
'IB-LLIGA ' 10  8338  1.95 
'ESQUERRA AM ' 8  5240  1.22 
'PSM-IV-APIB ' 8  2331  0.54 
'GxF ' 6  1662  0.39 
'EUIB ' 5  10048  2.34 
'NOV-A ' 5  2368  0.55 
'SA UNIÓ ' 5  1308  0.31 
'PSM-ESQUERRA-PSOE-ENTESA ' 5  708  0.17 
'A+A ' 4  1565  0.37 
'IxSP ' 4  1526  0.36 
'UMe ' 4  1508  0.35 
'IxSMB ' 4  1035  0.24 
'CDM ' 4  1007  0.23 
'UCAP ' 4  906  0.21 
'GISCa ' 4  881  0.21 
'ENTESA ' 4  878  0.20 
'GIV ' 4  361  0.08 
'BLOC ' 3  1410  0.33 
'CPU ' 3  1047  0.24 
'CpC(PSM-EN. ENTESA. PSOE) ' 3  1010  0.24 
'ExM ' 3  918  0.21 
'UIA ' 3  827  0.19 
'SI ' 3  425  0.10 
'L' ENTESA ' 3  384  0.09 
'AxSJ ' 3  356  0.08 
'IPG ' 3  322  0.08 
'ExC ' 2  2385  0.56 
'IDMA ' 2  1662  0.39 
'AIPC ' 2  1492  0.35 
'INDI ' 2  1401  0.33 
'ALM ' 2  1298  0.30 
'UPCM ' 2  1038  0.24 
'A ' 2  822  0.19 
'CiU ' 2  637  0.15 
'RESTO ' 23  22157  5.17 
'CiU  ' 1278   498540   24.10  
'PSC-PM ' 985  535232  25.87 
'ESQUERRA-AM ' 467  151140  7.31 
'PP ' 290  294202  14.22 
'ICV-EUiA-E ' 286  208445  10.07 
'CUP ' 69  47623  2.30 
'PxC ' 47  52801  2.55 
'AAE1OSONA ' 46  3833  0.19 
'SI ' 21  22664  1.10 
'CAV ' 16  13790  0.67 
'FIC ' 11  1391  0.07 
'UMdC ' 7  1361  0.07 
'IUSF ' 6  1346  0.07 
'UIPV ' 6  1128  0.05 
'UpVV ' 6  851  0.04 
'IF ' 6  477  0.02 
'CAF ' 6  280  0.01 
'ICB ' 6  166  0.01 
'TOTS PER ARGENTONA ' 5  1336  0.06 
'ALTpCB ' 5  1261  0.06 
'EpMOIÀ ' 5  880  0.04 
'GT ' 5  877  0.04 
'J ' 5  735  0.04 
'GPC ' 5  667  0.03 
'AEIS ' 5  56  0 
'PCPB ' 4  2043  0.10 
'NOPP ' 4  1457  0.07 
'GfentP ' 4  914  0.04 
'UC - Reagrupament ' 4  898  0.04 
'UxM ' 4  658  0.03 
'9 SV ' 4  600  0.03 
'JUNTS ' 4  532  0.03 
'SA ' 4  391  0.02 
'ixO ' 4  385  0.02 
'CDdeC ' 4  292  0.01 
'GIC ' 4  166  0.01 
'CPF ' 3  1011  0.05 
'VA! ' 3  876  0.04 
'IPV - VV ' 3  842  0.04 
'RESTO ' 114  127243  6.15 
'EAJ-PNV  ' 524   218747   37.37  
'BILDU-EA-ALTERNATIBA ' 407  124772  21.31 
'PSE-EE (PSOE) ' 106  90603  15.48 
'PP ' 55  74405  12.71 
'ARALAR ' 10  13851  2.37 
'LVP ' 10  3212  0.55 
'EB-B ' 8  20157  3.44 
'BB ' 8  548  0.09 
'HK ' 7  229  0.04 
'AI ' 6  1648  0.28 
'MIT ' 6  172  0.03 
'GIG ' 5  958  0.16 
'KZ ' 5  696  0.12 
'ADIE ' 5  668  0.11 
'AR ' 5  312  0.05 
'HT ' 5  148  0.03 
'IB ' 5  89  0.02 
'A E I PLENTZIA ' 4  855  0.15 
'PIGH ' 4  446  0.08 
'ALKARLANIEN ' 4  69  0.01 
'BILTZEN ' 3  782  0.13 
'AEI ' 3  411  0.07 
'aG ' 3  373  0.06 
'GTI ' 3  319  0.05 
'HA ' 3  217  0.04 
'UH ' 2  1593  0.27 
'AEMB-MBHE ' 2  1079  0.18 
'CLI ' 2  685  0.12 
'EA ' 2  604  0.10 
'ZB ' 2  219  0.04 
'iBarrika ' 2  157  0.03 
'AHP ' 2  154  0.03 
'TB ' 2  116  0.02 
'B-LV ' 1  2795  0.48 
'Por Muskiz. Bai ' 1  483  0.08 
'ID ' 1  206  0.04 
'ALONSOTEGIKO EZKERRA ' 1  194  0.03 
'MG ' 1  171  0.03 
'A C UNBEMENDI ' 1  97  0.02 
'RESTO ' 2  10328  1.76 
'PP  ' 1198   91688   47.08  
'PSOE ' 465  52777  27.10 
'PCAL ' 75  9387  4.82 
'IUCyL ' 33  8713  4.47 
'IMC ' 16  1466  0.75 
'AINP ' 6  222  0.11 
'UPyD ' 5  11344  5.82 
'IAQ ' 5  543  0.28 
'AEC ' 5  329  0.17 
'AEI ' 5  111  0.06 
'AECSM ' 4  301  0.15 
'A L I ' 4  294  0.15 
'AMI ' 4  144  0.07 
'CiBu ' 3  1648  0.85 
'AMI POR IBEAS ' 3  254  0.13 
'AVV ' 3  106  0.05 
'ALI ' 3  46  0.02 
'AEIND ' 3  43  0.02 
'AEPA ' 3  41  0.02 
'VA ' 3  34  0.02 
'ACS ' 2  267  0.14 
'AES ' 2  159  0.08 
'VENT ' 2  157  0.08 
'AIC ' 2  148  0.08 
'ACUDE ' 2  124  0.06 
'VVR ' 2  121  0.06 
'AEICT ' 2  120  0.06 
'JV ' 2  89  0.05 
'AECMJ ' 2  44  0.02 
'UPH ' 2  30  0.02 
'PIE ' 2  22  0.01 
'IEM ' 2  12  0.01 
'DN ' 1  1454  0.75 
'CCD ' 1  831  0.43 
'EAJ-PNV ' 1  89  0.05 
'BILDU-EA-ALTERNATIBA ' 1  80  0.04 
'AEVN ' 1  78  0.04 
'A E M S ' 1  66  0.03 
'AMIN ' 1  65  0.03 
'RESTO ' 7  2459  1.26 
'PSOE  ' 812   96079   37.48  
'PP ' 767  120036  46.83 
'IU-V-SIEX ' 35  12680  4.95 
'IPEX ' 24  2463  0.96 
'SIEx ' 19  2735  1.07 
'PREX-CREX ' 16  1801  0.70 
'UPEX ' 13  3055  1.19 
'ECOLO ' 4  1425  0.56 
'PSDG ' 4  600  0.23 
'AICE ' 4  462  0.18 
'GINP ' 3  1356  0.53 
'A E I CASATEJADA ' 3  255  0.10 
'AEP ' 3  139  0.05 
'AIVA ' 2  491  0.19 
'SdF ' 2  244  0.10 
'UBM ' 2  183  0.07 
'GIG ' 2  180  0.07 
'GTI ' 2  177  0.07 
'ASH ' 2  157  0.06 
'PIN-NAVA ' 2  154  0.06 
'I NAVALVILLAR DE IBOR ' 2  101  0.04 
'CEx ' 1  823  0.32 
'SIM ' 1  204  0.08 
'IDAZ ' 1  204  0.08 
'A I PERALEDA DE LA MATA ' 1  174  0.07 
'CIT ' 1  147  0.06 
'AG ' 1  124  0.05 
'IDAR ' 1  123  0.05 
'GIR ' 1  112  0.04 
'TU ' 1  105  0.04 
'SI ' 1  102  0.04 
'A E I ' 1  85  0.03 
'eg ' 1  32  0.01 
'UPyD '    2923  1.14 
'FCC '    824  0.32 
'ADS '    79  0.03 
'GUIA '    56  0.02 
'A INDPTE IBAHERNANDO '    40  0.02 
'EX-ZAR '    40  0.02 
'RESTO '    107  0.04 
'PSOE de Andalucia  ' 248   138788   24.54  
'PP ' 235  211218  37.34 
'IULV-CA ' 107  70114  12.40 
'PA ' 71  52710  9.32 
'PSOE ' 11  9802  1.73 
'AIPRO ' 7  4528  0.80 
'RRUU ' 7  3900  0.69 
'FCJ ' 4  13763  2.43 
'USR ' 4  1953  0.35 
'IP ' 3  4051  0.72 
'CISanlúcar ' 3  2828  0.50 
'CxSF ' 2  2962  0.52 
'PVRE ' 2  2836  0.50 
'LV-ECOLO ' 2  1583  0.28 
'PIVG ' 2  1347  0.24 
'PIBA -2000 ' 2  1139  0.20 
'ULT ' 2  1136  0.20 
'CPER ' 1  1251  0.22 
'UVA ' 1  298  0.05 
'UNION DE CENTRO GASTOREÑO ' 1  208  0.04 
'A E IZDA ALTVA EL BOSQUE ' 1  167  0.03 
'UPyD '    11168  1.97 
'URJ '    1265  0.22 
'UPLA LINEA '    1186  0.21 
'IPJ '    1007  0.18 
'TPS '    1005  0.18 
'IZAN '    915  0.16 
'CENB '    905  0.16 
'UPCH '    889  0.16 
'PARTIDO VEN-T '    822  0.15 
'BUX '    654  0.12 
'JAU '    620  0.11 
'PIBBUU '    516  0.09 
'PACMA '    514  0.09 
'GDZ '    484  0.09 
'DIPA '    479  0.08 
'PPRP '    426  0.08 
'CDL '    362  0.06 
'CPCAD '    338  0.06 
'RESTO '    2666  0.47 
'PP  ' 477   152427   44.91  
'PRC ' 322  70667  20.82 
'PSOE ' 195  70741  20.84 
'IU ' 10  10860  3.20 
'AVI ' 9  1351  0.40 
'A E UNIÓN POR PENAGOS ' 6  807  0.24 
'LU ' 4  2316  0.68 
'CASTROVERDE ' 4  2229  0.66 
'UPyD ' 3  4464  1.32 
'CPV ' 3  93  0.03 
'A VECINOS INDPTE ' 2  819  0.24 
'IPdL ' 2  717  0.21 
'ACPT ' 1  2092  0.62 
'AxCastro ' 1  945  0.28 
'A V CAMARGO ' 1  895  0.26 
'AAV ' 1  809  0.24 
'A I CAYÓN ' 1  657  0.19 
'MVTO FALANGISTA DE ESPAÑA ' 1  409  0.12 
'ALTVA ECOLÓGICO-SOCIALISTA ' 1  368  0.11 
'A INDPTE VECINOS ' 1  302  0.09 
'AES ' 1  261  0.08 
'IAMP ' 1  221  0.07 
'APIC ' 1  170  0.05 
'SVV ' 1  160  0.05 
'ALTERNATIVA POR SELAYA ' 1  154  0.05 
'AIVA ' 1  51  0.02 
'AXP ' 1  23  0.01 
'FRENTE NACIONAL '    979  0.29 
'ACAI '    566  0.17 
'AMD '    510  0.15 
'CDL '    501  0.15 
'AVIP '    433  0.13 
'PUM+J '    333  0.10 
'GTCU '    333  0.10 
'SAIn '    294  0.09 
'PJL '    284  0.08 
'PH '    279  0.08 
'TI '    245  0.07 
'I+P L '    228  0.07 
'RESTO '    805  0.24 
'PP  ' 643   139161   47.93  
'PSOE ' 377  87028  29.97 
'BLOC ' 29  13224  4.55 
'EUPV ' 14  12810  4.41 
'BLOC-CM COMPROMÍS ' 8  10265  3.54 
'JNP ' 6  775  0.27 
'CPV ' 5  202  0.07 
'AVI ' 4  264  0.09 
'AETT ' 4  116  0.04 
'CIBUR ' 3  1917  0.66 
'GIO ' 3  652  0.22 
'JPA ' 3  335  0.12 
'JPS ' 3  287  0.10 
'AESR ' 3  138  0.05 
'JPT ' 3  115  0.04 
'IxLV ' 2  488  0.17 
'UPP:CM ' 2  329  0.11 
'ESQUERRA-AM ' 1  2268  0.78 
'ESPAÑA 2000 ' 1  1514  0.52 
'PVI ' 1  1048  0.36 
'IPN ' 1  697  0.24 
'AIPLA ' 1  571  0.20 
'ARDE ' 1  474  0.16 
'VdeB ' 1  299  0.10 
'AIRE ' 1  42  0.01 
'PSD POR LOS CIUDADANOS ' 1  33  0.01 
'UPyD '    2764  0.95 
'VERDES '    1245  0.43 
'IxCastelló-V:CM '    1217  0.42 
'CVa '    944  0.33 
'AMI ONDA '    477  0.16 
'IxOnda-Verds:CM '    272  0.09 
'DN '    268  0.09 
'GIPaxal '    190  0.07 
'GRACAA '    178  0.06 
'PLAA '    165  0.06 
'CCD '    153  0.05 
'FA '    105  0.04 
'POSI '    95  0.03 
'RESTO '    151  0.05 
'PP  ' 18   20023   65.20  
'Caballas ' 4  4404  14.34 
